30
69,81,102,-60,-132,-157,-133,-36,214,101,262,44,-50,-114,-176,
179,81,73,-64,-154,-190,-174,-79,330,50,251,39,-1,-85,-202,
270,188,45,-109,-189,-222,-206,-117,212,24,181,2,-40,-30,-151,
265,182,62,-98,-181,-216,-204,-123,114,29,112,13,-47,-45,-120,
264,202,64,-82,-161,-194,-180,-96,101,21,90,-5,-85,-95,-104,
259,221,73,-69,-148,-183,-174,-105,66,31,41,14,-73,-108,-115,
266,235,75,-56,-133,-169,-165,-109,20,16,0,12,-54,-102,-115,
269,245,60,-64,-138,-172,-165,-101,91,14,-26,-15,-53,-96,-117,
277,262,59,-59,-131,-166,-160,-97,131,12,-33,-24,-88,-141,-152,
284,280,57,-63,-135,-170,-165,-102,117,24,5,-3,-121,-174,-169,
287,285,50,-71,-143,-178,-172,-107,116,23,0,-1,-107,-159,-157,
289,283,46,-74,-144,-176,-166,-98,86,27,13,-8,-96,-143,-156,
296,287,52,-67,-137,-169,-162,-103,12,20,45,46,-84,-160,-202,
304,291,57,-62,-133,-168,-164,-111,7,26,36,44,-95,-173,-210,
306,291,45,-75,-146,-179,-171,-107,72,70,50,4,-110,-181,-221,
288,273,32,-88,-159,-191,-183,-118,74,65,67,66,-84,-161,-202,
282,266,33,-85,-155,-187,-178,-113,79,52,53,94,-72,-160,-208,
303,280,47,-73,-144,-176,-166,-96,126,20,10,64,-81,-181,-236,
324,273,62,-60,-134,-170,-166,-99,157,-17,-19,62,-120,-197,-215,
342,251,67,-54,-129,-165,-160,-90,163,-28,-25,63,-125,-202,-219,
358,253,73,-55,-133,-172,-170,-102,127,-47,-44,71,-128,-197,-187,
348,282,64,-72,-151,-189,-185,-119,90,-26,-2,86,-139,-202,-193,
317,234,33,-98,-173,-207,-196,-121,173,7,44,116,-90,-166,-203,
287,200,60,-82,-161,-196,-185,-107,226,5,47,83,-101,-172,-207,
270,162,100,-53,-138,-176,-167,-91,125,8,61,16,-125,-174,-175,
237,111,87,-42,-130,-168,-155,-65,195,7,56,4,-104,-144,-154,
219,155,102,-33,-114,-148,-134,-44,151,-11,4,23,-94,-162,-195,
203,158,149,-25,-109,-141,-121,-28,53,5,73,-15,-121,-180,-221,
188,121,155,-4,-98,-135,-122,-45,66,80,161,-36,-137,-204,-253,
201,109,146,26,-76,-116,-105,-40,15,38,126,-45,-146,-214,-263,
27
247,187,45,-14,-12,79,104,17,22,-35,-96,-98,-179,-305,-384,
292,156,23,-32,-33,31,96,35,41,21,-38,-113,-218,-307,-365,
325,162,12,-74,-119,-124,-76,55,73,88,27,-71,-131,-211,-283,
321,157,-16,-121,-182,-204,-180,-83,163,58,128,12,9,-55,-185,
335,164,-16,-126,-191,-219,-204,-127,97,60,110,87,32,-43,-154,
338,151,-32,-142,-209,-239,-228,-160,41,56,65,138,52,8,-93,
356,178,-35,-154,-226,-259,-252,-189,-7,51,51,138,59,77,-65,
356,189,-19,-136,-207,-239,-230,-166,-6,13,26,92,66,51,-74,
356,181,-17,-133,-203,-235,-228,-166,0,48,8,41,85,54,-87,
344,172,-25,-141,-213,-248,-244,-190,-37,70,-9,37,139,108,-48,
338,173,-23,-140,-212,-248,-246,-197,-59,103,-5,22,125,133,-42,
342,177,-24,-142,-215,-251,-250,-203,-81,68,16,56,128,136,-24,
348,172,-29,-147,-219,-255,-254,-206,-79,69,17,71,131,128,-21,
347,163,-35,-152,-224,-258,-253,-194,-17,22,-23,62,144,132,-26,
356,161,-34,-150,-221,-255,-250,-192,-22,35,-15,63,171,99,-61,
366,158,-30,-145,-216,-252,-252,-204,-73,91,-1,47,186,94,-48,
340,161,-39,-159,-232,-269,-268,-218,-79,72,-9,77,212,142,-7,
353,164,-39,-157,-230,-266,-264,-211,-61,59,-14,63,168,136,-26,
344,165,-45,-165,-238,-275,-274,-224,-83,81,-1,84,144,181,8,
339,165,-35,-154,-227,-263,-262,-211,-65,85,-6,67,185,104,-41,
283,138,-2,-116,-188,-224,-223,-171,-20,58,-22,38,234,8,-94,
271,132,-1,-116,-191,-230,-232,-186,-50,78,-29,25,181,48,-18,
272,136,24,-88,-164,-207,-214,-178,-72,93,-8,21,186,7,-85,
267,146,45,-73,-154,-197,-204,-165,-45,74,-20,51,131,-77,-152,
262,131,45,-61,-142,-189,-201,-169,-54,106,-18,78,62,-107,-161,
214,90,80,-20,-123,-179,-192,-156,-29,99,-10,101,33,-115,-168,
186,80,139,-63,-165,-209,-205,-136,95,35,41,93,54,-40,-153,
32
36,14,-42,-88,-107,-90,-27,20,-20,-19,22,44,67,146,93,
35,0,-52,-84,-95,-78,-18,11,-43,-44,16,59,69,200,94,
